,Shortest running cases,ymd,Duration
0,CC/99/2019,0.0 years 0.0 months 7.0 days,7
1,A/22/2021,0.0 years 0.0 months 11.0 days,11
2,RP/20/2019,0.0 years 0.0 months 13.0 days,13
3,RP/21/2019,0.0 years 0.0 months 13.0 days,13
4,CC/25/2020,0.0 years 0.0 months 17.0 days,17
5,CC/24/2020,0.0 years 0.0 months 23.0 days,23
6,CC/23/2020,0.0 years 0.0 months 27.0 days,27
7,A/351/2019,0.0 years 0.0 months 27.0 days,27
8,CC/32/2020,0.0 years 0.0 months 28.0 days,28
9,A/426/2019,0.0 years 1.0 months 0.0 days,30
